#TYPE System.Management.Automation.PSCustomObject
"Name","PathName","Hash","DateAdded"
"Microsoft.TeamFoundation.Build.Server.dll","d:\Program Files\Microsoft Team Foundation Server 2010\Application Tier\TfsJobAgent\Plugins\Microsoft.TeamFoundation.Build.Server.dll","010FBD2765D5C6BB3F9BA3744BE3BAA2","9/27/2013"
"","","0116B6ECF4980DAF3FFC3B8A6C69974A","9/11/2013"
"","","011920070CACA9E9DB178A6475B51C19","9/11/2013"
"ACTIVEDS.dll","C:\windows\system32\ACTIVEDS.dll","011F0B067E47612F57C4ECE377D9C9DF","7/25/2013"
"","","01246F0BAAD7B68EC0F472AA41E33282","9/11/2013"
"BROWCLI.DLL","C:\Windows\system32\BROWCLI.DLL","012787CEB35505EB78DF82E0A0072888","8/30/2013"
"SQLDTSSS.DLL","c:\Program Files\Microsoft SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\binn\SQLDTSSS.DLL","0129DC94FE97CEFD5C1CF606D4802869","9/27/2013"
"tomcat6.exe","C:\Program Files (x86)\Hewlett-Packard\EVAPA\EvapaTools\tomcat\32bit\apache-tomcat-6.0.24\bin\tomcat6.exe","0129F59CDA5CE2FA877C21770A0073F2","9/27/2013"
"","","012B4D5E480758C7F0FDABD0D08C4B1B","9/11/2013"
"","","012C5F4E9349E711E11E0F19A8589F0A","9/11/2013"
"","","0132438C05C94990A6EEC842591645B1","9/11/2013"
"System.ServiceModel.Web.dll","C:\Windows\Microsoft.Net\assembly\GAC_MSIL\System.ServiceModel.Web\v4.0_4.0.0.0__31bf3856ad364e35\System.ServiceModel.Web.dll","013265DBA4D8B6C8C48456902887D515","9/27/2013"
"","","01334F9EA68E6877C4EF05D3EA8ABB05","9/11/2013"
"libxslt.dll","C:\Program Files\SplunkUniversalForwarder\bin\libxslt.dll","013BC288C40D65A68B1752618CB8CBD0","10/24/2013"
"","","0140CAFA98802591EC932CFE6AB32306","9/11/2013"
"","","01418862E784A0068296EC26693E4A07","9/11/2013"
"wmiutils.dll","C:\windows\system32\wbem\wmiutils.dll","0143DB80DACFB7C2B5B7009ED9063353","7/25/2013"
"Secur32.dll","c:\windows\system32\Secur32.dll","0144D8D75A0B12938AEEE859E3310A46","7/25/2013"
"","","0149FA79FF0246BF022C8C35294570D2","9/11/2013"
"SolarWinds.Licensing.Framework.DLL","C:\Windows\TEMP\SolarWinds\JobEngine.v2\ShadowCopyCache-8692\SolarWinds.APM.Probes-08ab621c-3310-4160-b3d3-f18af4e4ee43\assembly\dl3\eb4c2133\0048368e_8387cd01\SolarWinds.Licensing.Framework.DLL","014FA96E97CACDC6CA9188D38991484F","9/27/2013"
"hpmdp118.dll","C:\Windows\system32\spool\DRIVERS\x64\3\hpmdp118.dll","0151AF0357F1635CF88623EB5DAEBFD3","9/27/2013"
